,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
4139,12,Holmes Lights,Danny,Jackson,59,Head,Married,Male,Land,None,Catholic
4140,12,Holmes Lights,Jane,Jackson,57,Wife,Married,Female,Quality manager,None,None
4141,12,Holmes Lights,Bethany,Jackson,27,Daughter,Single,Female,Dentist,None,None
4142,12,Holmes Lights,Terry,Jackson,24,Son,Divorced,Male,Advertising copywriter,None,Catholic
4143,12,Holmes Lights,Donna,Jackson,21,Daughter,Single,Female,University Student,None,Catholic
4144,13,Holmes Lights,Lauren,Martin,55,Head,Single,Female,Charity fundraiser,None,Catholic
4145,13,Holmes Lights,Craig,Lyons,56,Partner,Single,M,"Psychologist, prison and probation services",None,Catholic
4146,13,Holmes Lights,Diane,Martin,18,Daughter,Single,Female,Student,None,Catholic
4147,13,Holmes Lights,Judith,Martin,15,Daughter,NA,Female,Student,None,NA
4148,13,Holmes Lights,Stephanie,Martin,4,Daughter,NA,Female,Child,None,NA
4149,14,Holmes Lights,Karen,Lloyd,40,Head,Single,Female,Unemployed,None,None
4150,14,Holmes Lights,Teresa,Lloyd,19,Daughter,Single,Female,University Student,None,None
4151,15,Holmes Lights,David,Taylor-Scott,35,Head,Married,Male,"Investment banker, operational",None,Christian
4152,15,Holmes Lights,Samantha,Taylor-Scott,28,Wife,Married,Female,"Scientist, research (life sciences)",None,None
4153,16,Holmes Lights,Damien,Quinn,39,Head,Single,Male,Unemployed,None,Christian
4154,16,Holmes Lights,Alison,Franklin,43,Partner,Single,female,"Journalist, magazine",None,Christian
4155,17,Holmes Lights,Yvonne,Hammond,39,Head,Single,Female,Insurance risk surveyor,None,Christian
4156,17,Holmes Lights,Martin,Hammond,7,Son,NA,Male,Student,None,NA
4157,17,Holmes Lights,Emily,Shaw-Hammond,4,Daughter,NA,f,Child,None,NA
4158,17,Holmes Lights,Craig,Shaw-Hammond,0,Son,NA,Male,Child,None,NA
4159,18,Holmes Lights,Lynn,Lewis,40,Head,Married,Female,Unemployed,None,Methodist
4160,18,Holmes Lights,Christopher,Lewis,42,Husband,Married,Male,Chartered legal executive (England and Wales),None,Methodist
4161,19,Holmes Lights,Lydia,Bowen,26,Head,Single,Female,Interpreter,None,Catholic
4162,19,Holmes Lights,Stuart,Anderson,43,None,Single,Male,Sales executive,None,None
4163,20,Holmes Lights,Anna,Williams,84,Head,Widowed,Female,Retired Pensions consultant,None,Christian
4164,21,Holmes Lights,Chloe,Rogers,69,Head,Married,Female,"Retired Therapist, nutritional",None,None
4165,21,Holmes Lights,Lawrence,Rogers,71,Husband,Married,Male,Retired Sport and exercise psychologist,None,None
4166,22,Holmes Lights,Matthew,Ross,84,Head,Widowed,Male,Retired Secondary school teacher,Physical Disability,Christian
4167,23,Holmes Lights,Hilary,Buckley,68,Head,Married,Female,Retired Translator,None,None
4168,23,Holmes Lights,Robin,Buckley,67,Husband,Married,Male,Unemployed,None,None
4169,24,Holmes Lights,Zoe,Jones,54,Head,Single,Female,Chiropodist,None,Christian
4170,24,Holmes Lights,Charles,Evans,40,None,Single,Male,Economist,None,None
4171,25,Holmes Lights,Carly,Holmes,29,Head,Married,Female,Photographer,None,None
4172,25,Holmes Lights,Diane,Holmes,31,Wife,Married,Female,"Scientist, forensic",None,None
4173,25,Holmes Lights,Kelly,Holmes,6,Daughter,NA,Female,Student,None,NA
4174,26,Holmes Lights,Fiona,Howell,43,Head,Married,Female,Pension scheme manager,None,Christian
4175,26,Holmes Lights,Patrick,Howell,42,Husband,Married,Male,"Designer, industrial/product",None,None
4176,26,Holmes Lights,James,Howell,17,Son,NA,Male,Student,None,NA
4177,26,Holmes Lights,Howard,Howell,15,Son,NA,Male,Student,None,NA
4178,27,Holmes Lights,Owen,Short,51,Head,Single,Male,Environmental education officer,None,Methodist
4179,27,Holmes Lights,Carly,Davis,49,Partner,Single,Female,"Scientist, biomedical",None,Methodist
4180,28,Holmes Lights,Marion,Jones,56,Head,Divorced,Female,Leisure centre manager,None,None
4181,28,Holmes Lights,Marian,Jones,38,Daughter,Single,female,Cabin crew,None,None
4182,28,Holmes Lights,Keith,Jones,37,Son,Single,Male,Financial trader,None,None
4183,29,Holmes Lights,Ann,Rice,46,Head,Single,Female,Unemployed,None,None
4184,29,Holmes Lights,Pauline,Rice,11,Daughter,NA,female,Student,None,NA
4185,30,Holmes Lights,Jasmine,Jones,47,Head,Single,Female,Unemployed,None,Christian
4186,30,Holmes Lights,Jessica,Jones,1,Daughter,NA,Female,Child,None,NA
4187,31,Holmes Lights,Rosemary,Knowles,68,Head,Married,Female,Retired Special educational needs teacher,None,Christian
4188,31,Holmes Lights,Elliott,Knowles,71,Husband,Married,Male,"Retired Designer, graphic",None,Christian
4189,31,Holmes Lights,Joseph,Knowles,46,Son,Single,Male,"Scientist, physiological",None,Christian
4190,31,Holmes Lights,Owen,Knowles,43,Son,Single,Male,Engineering geologist,None,None
4191,31,Holmes Lights,Graeme,Knowles,40,Son,Single,Male,Microbiologist,None,None
4192,32,Holmes Lights,Brandon,Mann,74,Head,Single,Male,"Retired Surveyor, planning and development",None,Christian
4193,32,Holmes Lights,Leslie,Mitchell,16,Grandson,NA,Male,Student,None,NA
4194,33,Holmes Lights,Frances,Gardiner,56,Head,Married,Female,"Designer, interior/spatial",None,Methodist
4195,33,Holmes Lights,Terry,Gardiner,53,Husband,Married,Male,Charity fundraiser,None,Methodist
4196,33,Holmes Lights,Melissa,Gardiner,31,Daughter,Single,Female,"Engineer, site",None,Methodist
4197,33,Holmes Lights,Anne,Gardiner,28,Daughter,Single,Female,Plant breeder/geneticist,None,Methodist
4198,33,Holmes Lights,June,Gardiner,26,Daughter,Single,Female,Chief Marketing Officer,None,Methodist
4199,34,Holmes Lights,Edward,Leonard,44,Head,Single,Male,Unemployed,None,Catholic
4200,34,Holmes Lights,Tracey,Bond,41,Partner,Single,f,Veterinary surgeon,None,None
4201,34,Holmes Lights,Harry,Leonard,11,Adopted Son,NA,Male,Student,None,NA
4202,34,Holmes Lights,Jacob,Leonard,10,Son,NA,Male,Student,None,NA
4203,35,Holmes Lights,Sophie,Mills,79,Head,Widowed,Female,Retired Financial controller,None,Christian
4204,35,Holmes Lights,Jake,Mills,14,Grandson,NA,Male,Student,None,NA
4205,36,Holmes Lights,Damian,Savage,68,Head,Divorced,Male,"Retired Radiographer, diagnostic",None,Christian
4206,37,Holmes Lights,Zoe,Gordon,34,Head,Married,Female,"Solicitor, Scotland",None,None
4207,37,Holmes Lights,Mohammad,Gordon,37,Husband,Married,Male,Facilities manager,None,None
4208,38,Holmes Lights,Sophie,Lane,61,Head,Married,Female,"Presenter, broadcasting",None,Christian
4209,38,Holmes Lights,Vincent,Lane,64,Husband,Married,Male,Civil Service fast streamer,None,Christian
4210,38,Holmes Lights,Elliott,Lane,16,Son,NA,Male,Student,None,NA
4211,38,Holmes Lights,Russell,Lane,16,Son,NA,Male,Student,None,NA
4212,39,Holmes Lights,Terry,Newton,53,Head,Married,Male,Primary school teacher,None,Catholic
4213,39,Holmes Lights,Deborah,Newton,55,Wife,Married,Female,"Lecturer, further education",None,Catholic
4214,40,Holmes Lights,Sarah,Evans,50,Head,Married,Female,Physiotherapist,None,None
4215,40,Holmes Lights,Terry,Evans,52,Husband,Married,Male,Clinical molecular geneticist,None,None
4216,40,Holmes Lights,Diane,Evans,26,Daughter,Divorced,Female,Multimedia programmer,None,None
4217,40,Holmes Lights,Linda,Evans,10,Daughter,NA,Female,Student,None,NA
4218,41,Holmes Lights,Albert,Wallis,50,Head,Divorced,Male,Broadcast engineer,None,Catholic
4219,41,Holmes Lights,Anthony,Reynolds-Wallis,15,Son,NA,Male,Student,None,NA
4220,42,Holmes Lights,Sarah,Gibson,48,Head,Single,Female,"Journalist, broadcasting",None,None
4221,42,Holmes Lights,Shannon,Gibson,13,Neice,NA,female,Student,None,NA
4222,43,Holmes Lights,Rachel,Barnes,56,Head,Married,Female,Ophthalmologist,None,Catholic
4223,43,Holmes Lights,Lawrence,Barnes,51,Husband,Married,Male,Pathologist,None,Catholic
4224,43,Holmes Lights,Nicholas,Barnes,18,Son,Divorced,Male,Student,None,Catholic
4225,43,Holmes Lights,Wayne,Barnes,17,Son,NA,Male,Student,None,NA
4226,44,Holmes Lights,Hayley,Jones,39,Head,Single,Female,Unemployed,None,Methodist
4227,44,Holmes Lights,Samantha,Evans,14,Daughter,NA,Female,Student,None,NA
4228,44,Holmes Lights,George,Evans,14,Son,NA,Male,Student,None,NA
4229,44,Holmes Lights,Steven,Evans,10,Son,NA,Male,Student,None,NA
4230,45,Holmes Lights,Dorothy,Carter,45,Head,Single,Female,Commissioning editor,None,None
4231,45,Holmes Lights,Benjamin,Carter,12,Son,NA,Male,Student,None,NA
4232,46,Holmes Lights,Laura,Sutton,29,Head,Married,Female,Wellsite geologist,None,Methodist
4233,46,Holmes Lights,Alan,Sutton,30,Husband,Married,Male,Petroleum engineer,None,Methodist
4234,46,Holmes Lights,Rebecca,Sutton,5,Daughter,NA,Female,Student,None,NA
4235,46,Holmes Lights,Andrea,Sutton,2,Daughter,NA,Female,Child,None,NA
4236,46,Holmes Lights,Denise,Schofield,30,Lodger,Single,Female,"Scientist, research (physical sciences)",None,Catholic
4237,47,Holmes Lights,Harriet,Boyle,46,Head,Single,Female,Heritage manager,None,None
4238,47,Holmes Lights,Patricia,Boyle,2,Daughter,NA,Female,Child,None,NA
4239,48,Holmes Lights,Kate,Patterson,72,Head,Married,Female,Retired Food technologist,None,Methodist
4240,48,Holmes Lights,Christian,Patterson,74,Husband,Married,Male,Retired Outdoor activities/education manager,None,None
4241,49,Holmes Lights,Frederick,Lawrence,32,Head,Single,Male,Building control surveyor,None,None
4242,50,Holmes Lights,Ricky,Lambert,99,Head,Widowed,M,"Retired Teacher, music",None,Methodist
4243,51,Holmes Lights,Sarah,Holloway,35,Head,Married,Female,Publishing copy,None,None
4244,51,Holmes Lights,Luke,Holloway,38,Husband,Married,Male,Nutritional therapist,None,None
4245,51,Holmes Lights,Mathew,Watson,21,Lodger,Divorced,M,University Student,None,None
4246,51,Holmes Lights,Martyn,Andrews,29,Lodger,Divorced,Male,Building services engineer,None,Muslim
4247,51,Holmes Lights,Lucy,Taylor,53,Cousin,Single,Female,"Conservator, museum/gallery",None,Christian
4248,52,Holmes Lights,Graham,Watts,69,Head,Married,Male,Retired Financial risk analyst,None,Christian
4249,52,Holmes Lights,Lynne,Watts,62,Wife,Married,Female,Comptroller,None,Christian
4250,53,Holmes Lights,Charles,Harris,65,Head,Widowed,Male,Ceramics designer,None,None
4251,54,Holmes Lights,Katie,Kelly,38,Head,Married,Female,Immunologist,None,Methodist
4252,54,Holmes Lights,Alex,Kelly,42,Husband,Married,Male,Physiotherapist,None,Methodist
4253,54,Holmes Lights,Daniel,Kelly,15,Son,NA,Male,Student,None,NA
4254,54,Holmes Lights,Francesca,Kelly,15,Daughter,NA,f,Student,None,NA
4255,54,Holmes Lights,Francis,Kelly,15,Son,NA,Male,Student,None,NA
4256,55,Holmes Lights,Iain,Harper,73,Head,Divorced,Male,Unemployed,None,None
4257,56,Holmes Lights,Gerard,Smith,25,Head,Single,Male,Manufacturing engineer,None,Catholic
4258,56,Holmes Lights,Lynn,Hussain,46,None,Single,Female,Homeopath,None,Catholic
4259,56,Holmes Lights,Georgina,Campbell,36,None,Single,Female,Arboriculturist,None,Christian
4260,57,Holmes Lights,James,Little,73,Head,Widowed,Male,"Retired Conservator, museum/gallery",None,Christian
4261,58,Holmes Lights,Michelle,Thomson,47,Head,Single,Female,Unemployed,None,None
4262,58,Holmes Lights,Aimee,Thomson,14,Daughter,NA,Female,Student,None,NA
4263,59,Holmes Lights,Laura,Barton,60,Head,Widowed,Female,Unemployed,None,Christian
4264,59,Holmes Lights,Sophie,Barton,21,Daughter,Divorced,Female,University Student,None,Christian
4265,60,Holmes Lights,Angela,Newton,47,Head,Single,Female,Unemployed,None,None
4266,60,Holmes Lights,Linda,Newton,16,Daughter,NA,Female,Student,None,NA
4267,1,April Road,Grace,James,19,Head,Single,Female,University Student,None,Christian
4268,1,April Road,Carly,Hunt,19,None,Single,Female,University Student,None,Christian
4269,1,April Road,Gemma,Akhtar,21,None,Single,female,University Student,None,None
4270,1,April Road,Danielle,Bailey,19,None,Single,Female,University Student,None,Catholic
4271,2,April Road,Abbie,Begum,38,Head,Married,Female,"Psychologist, educational",None,Christian
4272,2,April Road,Gerald,Begum,40,Husband,Married,Male,Medical illustrator,None,Christian
4273,2,April Road,Sean,Begum,20,Adopted Son,Single,Male,University Student,None,Christian
4274,2,April Road,Kenneth,Begum,16,Son,NA,Male,Student,None,NA
4275,2,April Road,Kerry,Begum,15,Daughter,NA,Female,Student,None,NA
4276,3,April Road,Carole,Whitehouse,42,Head,Married,Female,Horticultural therapist,None,Catholic
4277,3,April Road,Christopher,Whitehouse,38,Husband,Married,Male,English as a foreign language teacher,None,Catholic
4278,3,April Road,Katherine,Whitehouse,11,Daughter,NA,Female,Student,None,NA
4279,3,April Road,Jade,Whitehouse,8,Daughter,NA,Female,Student,None,NA
4280,3,April Road,Bruce,Whitehouse,7,Son,NA,Male,Student,None,NA
4281,4,April Road,Clare,Murray,40,Head,Married,Female,Public affairs consultant,None,None
4282,4,April Road,Robert,Murray,43,Husband,Married,Male,Medical secretary,None,None
4283,4,April Road,Maurice,Murray,5,Son,NA,Male,Student,None,NA
4284,4,April Road,Jeremy,Murray,1,Son,NA,Male,Child,None,NA
4285,5,April Road,Suzanne,Watson,59,Head,Married,Female,"Restaurant manager, fast food",None,Christian
4286,5,April Road,Phillip,Watson,61,Husband,Married,Male,Illustrator,None,None
4287,5,April Road,Nicholas,Watson,29,Son,Divorced,Male,Purchasing manager,None,Christian
4288,5,April Road,Bethany,Watson,27,Daughter,Single,Female,Unemployed,None,Christian
4289,6,April Road,Sean,Richards,39,Head,Single,Male,Pension scheme manager,None,None
4290,6,April Road,Bethan,Parker,43,Partner,Single,Female,Applications developer,None,None
4291,6,April Road,Jessica,Richards,8,Daughter,NA,Female,Student,None,NA
4292,6,April Road,Toby,Richards,4,Son,NA,Male,Child,None,NA
4293,7,April Road,Rebecca,Davies,61,Head,Married,Female,Museum/gallery conservator,None,Methodist
4294,7,April Road,Jeffrey,Davies,63,Husband,Married,Male,Government social research officer,None,Methodist
4295,7,April Road,Christian,Chapman,11,Grandson,NA,Male,Student,None,NA
4296,7,April Road,Justin,Rees-Chapman,7,Grandson,NA,Male,Student,None,NA
4297,8,April Road,Martin,Miah,37,Head,Single,Male,"Administrator, charities/voluntary organisations",None,Catholic
4298,9,April Road,Anne,Mills,62,Head,Single,Female,"Investment banker, corporate",None,Christian
4299,9,April Road,Cheryl,Mills,41,Daughter,Single,Female,Meteorologist,None,Christian
4300,9,April Road,Suzanne,George-Mills,37,Daughter,Single,Female,Clinical research associate,None,Christian
4301,9,April Road,Susan,Stephens-George-Mills,33,Daughter,Single,Female,Private music teacher,None,Christian
4302,10,April Road,Carly,Roberts,52,Head,Married,Female,Oncologist,None,None
4303,10,April Road,Joel,Roberts,54,Husband,Married,Male,Travel agency manager,None,None
4304,10,April Road,Beverley,Roberts,25,Daughter,Single,Female,Geochemist,None,None
4305,10,April Road,Raymond,Roberts,21,Son,Single,Male,University Student,None,None
4306,11,April Road,Rebecca,Griffiths,36,Head,Married,Female,"Producer, television/film/video",None,None
4307,11,April Road,Raymond,Griffiths,36,Husband,Married,Male,Civil Service fast streamer,None,None
4308,11,April Road,Julia,Griffiths,0,Daughter,NA,Female,Child,Blind,NA
4309,11,April Road,Victor,Griffiths,0,Son,NA,Male,Child,None,NA
4310,12,April Road,Angela,Green,36,Head,Married,Female,Travel agency manager,None,None
4311,12,April Road,Brett,Green,38,Husband,Married,Male,Mental health nurse,None,None
4312,12,April Road,Russell,Green,15,Son,NA,Male,Student,None,NA
4313,12,April Road,Bernard,Green,11,Son,NA,Male,Student,None,NA
4314,12,April Road,Paul,Green,7,Son,NA,Male,Student,None,NA
4315,12,April Road,Wendy,Green,6,Daughter,NA,Female,Student,None,NA
4316,13,April Road,Susan,Wright,39,Head,Single,Female,Field trials officer,None,Catholic
4317,13,April Road,Eileen,Wright,7,Daughter,NA,Female,Student,None,NA
4318,13,April Road,Ben,Wright,4,Son,NA,Male,Child,None,NA
4319,13,April Road,Lindsey,Wright,1,Daughter,NA,Female,Child,None,NA
4320,14,April Road,Christine,Shaw,26,Head,Single,Female,Commercial horticulturist,None,None
4321,14,April Road,Alex,Hughes,49,Lodger,Single,Male,"Psychologist, educational",None,Christian
4322,14,April Road,Janice,Ward,56,Lodger,Divorced,Female,Animal nutritionist,None,Catholic
4323,14,April Road,Georgina,Dunn,34,Lodger,Divorced,Female,Paramedic,None,Catholic
4324,15,April Road,Clare,Coates,23,Head,Single,Female,PhD Student,None,None
4325,15,April Road,Carol,Williams,21,None,Single,Female,University Student,None,None
4326,15,April Road,Gary,Riley,21,None,Single,Male,University Student,None,None
4327,16,April Road,Michelle,Benson,67,Head,Single,Female,Sports therapist,None,Christian
4328,16,April Road,Cheryl,Benson,32,Daughter,Single,Female,Unemployed,None,None
4329,16,April Road,Fiona,Benson,24,Daughter,Widowed,Female,Conference centre manager,None,None
4330,16,April Road,Kelly,Benson,22,Daughter,Single,Female,University Student,None,None
4331,17,April Road,Mohammad,Evans,35,Head,Single,Male,Freight forwarder,None,Catholic
4332,17,April Road,Ricky,Evans,10,Son,NA,Male,Student,None,NA
4333,17,April Road,Alison,Evans,8,Daughter,NA,Female,Student,None,NA
4334,1,Harris Lane,Elizabeth,Robinson,55,Head,Married,Female,Hydrologist,None,Sikh
4335,1,Harris Lane,Josh,Robinson,54,Husband,Married,Male,Ambulance person,None,Sikh
4336,1,Harris Lane,Marcus,Robinson,39,Son,Single,Male,Unemployed,None,Sikh
4337,2,Harris Lane,Ellie,Whitehead,40,Head,Married,Female,Passenger transport manager,None,Christian
4338,2,Harris Lane,Daniel,Whitehead,44,Husband,Married,Male,Physiological scientist,None,Christian
4339,2,Harris Lane,Hollie,Whitehead,13,Daughter,NA,female,Student,None,NA
4340,3,Harris Lane,Leanne,Roberts,58,Head,Married,f,Unemployed,None,Methodist
4341,3,Harris Lane,Colin,Roberts,60,Husband,Married,Male,Retail buyer,None,Methodist
4342,3,Harris Lane,Rachael,Roberts,33,Daughter,Single,Female,Art gallery manager,None,Methodist
4343,4,Harris Lane,Kim,Kemp,34,Head,Single,Female,"Engineer, materials",None,Methodist
4344,4,Harris Lane,Mohamed,Smith,39,Partner,Single,Male,Senior tax professional/tax inspector,None,None
4345,4,Harris Lane,Katherine,Kemp,10,Daughter,NA,Female,Student,None,NA
4346,5,Harris Lane,Megan,Cooper,28,Head,Married,Female,Chartered certified accountant,None,None
4347,5,Harris Lane,Raymond,Cooper,31,Husband,Married,Male,Phytotherapist,None,None
4348,5,Harris Lane,Kathleen,Cooper,7,Daughter,NA,Female,Student,None,NA
4349,6,Harris Lane,Toby,Lambert,46,Head,Single,Male,Air broker,None,Catholic
4350,6,Harris Lane,Beverley,Lee,47,Partner,Single,f,Manufacturing systems engineer,None,Catholic
4351,6,Harris Lane,Victoria,Lambert,17,Daughter,NA,Female,Student,None,NA
4352,6,Harris Lane,Lisa,Lowe,14,Daughter,NA,Female,Student,None,NA
4353,7,Harris Lane,Oliver,Clarke,42,Head,Married,Male,Quarry manager,None,None
4354,7,Harris Lane,Helen,Clarke,42,Wife,Married,Female,Television floor manager,None,None
4355,7,Harris Lane,Dominic,Clarke,10,Son,NA,Male,Student,None,NA
4356,7,Harris Lane,Alan,Johnson-Clarke,8,Son,NA,Male,Student,None,NA
4357,8,Harris Lane,Kayleigh,Burgess,55,Head,Married,Female,Health physicist,None,Christian
4358,8,Harris Lane,Clive,Burgess,57,Husband,Married,Male,Furniture conservator/restorer,None,Christian
4359,8,Harris Lane,Lorraine,Burgess,14,Daughter,NA,f,Student,None,NA
4360,8,Harris Lane,Alison,Burgess,10,Daughter,NA,Female,Student,None,NA
4361,8,Harris Lane,Trevor,Burgess,5,Son,NA,Male,Student,None,NA
4362,9,Harris Lane,Janet,Heath,40,Head,Married,Female,Analytical chemist,None,Catholic
4363,9,Harris Lane,Ronald,Heath,44,Husband,Married,Male,Professor Emeritus,None,None
4364,9,Harris Lane,Sheila,Heath,12,Daughter,NA,Female,Student,None,NA
4365,9,Harris Lane,Teresa,Heath,8,Daughter,NA,Female,Student,None,NA
4366,10,Harris Lane,Jessica,Perry,53,Head,Married,Female,Industrial/product designer,None,Christian
4367,10,Harris Lane,Stewart,Perry,59,Husband,Married,Male,Herpetologist,None,Christian
4368,10,Harris Lane,Liam,Perry,24,Son,Widowed,Male,Mudlogger,None,Christian
4369,10,Harris Lane,Oliver,Perry,3,Son,NA,Male,Child,None,NA
4370,11,Harris Lane,Joan,Warren,68,Head,Married,female,"Retired Designer, interior/spatial",None,Christian
4371,11,Harris Lane,Edward,Warren,65,Husband,Married,Male,Landscape architect,None,Christian
4372,12,Harris Lane,Maria,King,79,Head,Married,Female,Retired Psychiatrist,None,Methodist
4373,12,Harris Lane,Leigh,King,84,Husband,Married,Male,Retired Forensic scientist,None,Methodist
4374,13,Harris Lane,Fiona,Russell,59,Head,Single,Female,Minerals surveyor,None,Christian
4375,13,Harris Lane,Max,Russell,25,Son,Single,Male,Senior tax professional/tax inspector,None,None
4376,13,Harris Lane,Malcolm,Russell,23,Son,Single,Male,Geophysicist/field seismologist,None,Christian
4377,14,Harris Lane,Cheryl,Davies,39,Head,Single,Female,Clinical psychologist,None,Methodist
4378,14,Harris Lane,Marcus,Davies,13,Son,NA,Male,Student,None,NA
4379,14,Harris Lane,Denis,Davies,12,Son,NA,Male,Student,None,NA
4380,15,Harris Lane,Hilary,Stewart,36,Head,Divorced,Female,Unemployed,None,None
4381,15,Harris Lane,Carole,Stewart,17,Daughter,NA,f,Student,None,NA
4382,15,Harris Lane,Owen,Stewart,12,Son,NA,Male,Student,None,NA
4383,15,Harris Lane,Joel,Stewart,10,Son,NA,Male,Student,None,NA
4384,15,Harris Lane,Harry,Miller,9,Son,NA,Male,Student,None,NA
4385,16,Harris Lane,Marion,Wilkins,66.59912241,Head,Married,female,Insurance underwriter,None,Christian
4386,16,Harris Lane,Garry,Wilkins,70.59912241,Husband,Married,Male,Retired Art therapist,None,Christian
4387,16,Harris Lane,Andrew,Wilkins,17,Son,NA,Male,Student,None,NA
4388,16,Harris Lane,Conor,Wilkins,14,Son,NA,Male,Student,None,NA
4389,17,Harris Lane,Fiona,Richardson,26,Head,Single,Female,Copy,None,Catholic
4390,17,Harris Lane,Vincent,Hancock,27,Partner,Single,Male,Art therapist,None,Catholic
4391,17,Harris Lane,Maria,Richardson,6,Daughter,NA,Female,Student,None,NA
4392,17,Harris Lane,Janet,Richardson,3,Daughter,NA,Female,Child,None,NA
4393,17,Harris Lane,Georgina,Bell,63,Lodger,Single,Female,"Administrator, charities/voluntary organisations",None,Catholic
4394,18,Harris Lane,Hazel,Boyle,48,Head,Single,Female,"Engineer, electronics",None,None
4395,18,Harris Lane,Marie,Boyle,27,Daughter,Single,Female,"Engineer, communications",None,None
4396,18,Harris Lane,Lynn,Boyle,23,Daughter,Single,Female,Clinical embryologist,None,None
4397,19,Harris Lane,Sharon,Lyons,78,Head,Divorced,Female,"Retired Designer, graphic",None,Christian
4398,19,Harris Lane,Marc,Lyons,45,Son,Single,Male,Field seismologist,None,Christian
4399,20,Harris Lane,Lynda,Henderson,34,Head,Single,Female,Unemployed,None,Catholic
4400,20,Harris Lane,Richard,Henderson,10,Son,NA,Male,Student,None,NA
4401,21,Harris Lane,Julia,Fowler-Spencer,54,Head,Single,Female,Unemployed,None,Bahai
4402,21,Harris Lane,Barbara,Fowler-Spencer,27,Daughter,Single,Female,Fitness centre manager,None,Bahai
4403,21,Harris Lane,Alexandra,Fowler-Spencer,25,Daughter,Single,Female,Theme park manager,None,Bahai
4404,22,Harris Lane,Kate,Cook,38,Head,Single,Female,Unemployed,None,Catholic
4405,22,Harris Lane,Leanne,Cook,7,Daughter,NA,Female,Student,None,NA
4406,22,Harris Lane,Terry,Cook,5,Son,NA,Male,Student,None,NA
4407,23,Harris Lane,Mitchell,Thompson,39,Head,Married,Male,"Scientist, water quality",None,None
4408,23,Harris Lane,Natasha,Thompson,40,Wife,Married,Female,Government social research officer,None,None
4409,24,Harris Lane,Naomi,Williams,51,Head,Married,Female,Prison officer,None,Christian
4410,24,Harris Lane,Clive,Williams,53,Husband,Married,Male,Corporate investment banker,None,Christian
4411,24,Harris Lane,Albert,Williams,14,Son,NA,Male,Student,None,NA
4412,25,Harris Lane,Pamela,Barrett,53,Head,Married,Female,"Scientist, research (maths)",None,Catholic
4413,25,Harris Lane,Harry,Barrett,55,Husband,Married,Male,Chief Operating Officer,None,Catholic
4414,25,Harris Lane,Ricky,Barrett,32,Son,Single,Male,Engineering geologist,None,None
4415,25,Harris Lane,Bryan,Barrett,28,Son,Divorced,Male,Recruitment consultant,None,Catholic
4416,26,Harris Lane,Melissa,Brown,61,Head,Married,Female,Publishing rights manager,None,None
4417,26,Harris Lane,Clifford,Brown,63,Husband,Married,Male,"Engineer, electrical",None,None
4418,26,Harris Lane,Karl,Brown,34,Son,Single,Male,Stage manager,None,None
4419,26,Harris Lane,Janet,Brown,29,Daughter,Single,Female,Outdoor activities/education manager,None,None
4420,27,Harris Lane,Janice,Wood,50,Head,Divorced,Female,Unemployed,None,Christian
4421,27,Harris Lane,Nigel,Wood,13,Son,NA,Male,Student,None,NA
4422,27,Harris Lane,Kimberley,Wood,13,Daughter,NA,Female,Student,None,NA
4423,28,Harris Lane,Kirsty,Buckley,31,Head,Married,Female,Materials engineer,None,Catholic
4424,28,Harris Lane,Bradley,Buckley,34,Husband,Married,Male,"Engineer, agricultural",None,Catholic
4425,28,Harris Lane,Marc,Buckley,3,Son,NA,Male,Child,None,NA
4426,29,Harris Lane,Charlene,Robinson,39,Head,Single,Female,Unemployed,None,Catholic
4427,29,Harris Lane,Marion,Robinson,23,Daughter,Divorced,Female,Biomedical scientist,None,None
4428,29,Harris Lane,Tracy,Robinson,22,Daughter,Single,Female,Unemployed,None,Catholic
4429,29,Harris Lane,Alexander,Robinson,21,Son,Single,Male,University Student,None,Catholic
4430,29,Harris Lane,Alan,Robinson,20,Son,Divorced,Male,University Student,None,Catholic
4431,29,Harris Lane,Carl,Robinson,20,Son,Divorced,Male,University Student,Mental Disability,None
4432,29,Harris Lane,Julian,Robinson,19,Son,Single,Male,English as a second language teacher,None,None
4433,30,Harris Lane,Hayley,Hart,30,Head,Divorced,Female,Physiological scientist,None,None
4434,30,Harris Lane,Stephanie,Hart,2,Daughter,NA,Female,Child,None,NA
4435,30,Harris Lane,Clare,Williams,32,Sibling,Single,Female,Architectural technologist,None,Muslim
4436,31,Harris Lane,Karen,James,46,Head,Divorced,Female,Unemployed,None,Christian
4437,31,Harris Lane,Rhys,James,4,Son,NA,Male,Child,None,NA
4438,31,Harris Lane,Maurice,James,0,Son,NA,Male,Child,None,NA
4439,32,Harris Lane,Rachael,Hodgson,73,Head,Married,Female,Retired Telecommunications researcher,None,Christian
4440,32,Harris Lane,Gareth,Hodgson,73,Husband,Married,Male,Retired Dramatherapist,None,None
4441,33,Harris Lane,Nicole,Jackson,50,Head,Married,Female,Adult guidance worker,None,Christian
4442,33,Harris Lane,Michael,Jackson,52,Husband,Married,Male,Unemployed,None,Christian
4443,33,Harris Lane,Bethan,Jackson,22,Daughter,Single,Female,University Student,None,Christian
4444,33,Harris Lane,Natalie,Jackson,21,Daughter,Single,Female,University Student,None,Christian
4445,33,Harris Lane,Gemma,Jackson,9,Daughter,NA,Female,Student,None,NA
